#OTU_ID,Phylum,Species
New.CleanUp.ReferenceOTU71930,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU73591,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU75439,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU76202,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU79593,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU81010,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU89256,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU91212,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU96084,Firmicutes,Staphylococcus capitis
New.CleanUp.ReferenceOTU98467,Firmicutes,Staphylococcus capitis
AF467407.1.1549,Firmicutes,Staphylococcus cohnii
AF467421.1.1544,Firmicutes,Staphylococcus cohnii
GQ175334.1.1521,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU102598,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU10337,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU107347,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU12619,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU17750,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU22698,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU30803,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU31000,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU32539,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU40084,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU41347,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU44575,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU46475,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU57170,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU59215,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU6021,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU6601,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU66095,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU67869,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU76822,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU94693,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU95986,Firmicutes,Staphylococcus cohnii
New.CleanUp.ReferenceOTU101564,Firmicutes,Staphylococcus condimenti
New.CleanUp.ReferenceOTU22503,Firmicutes,Staphylococcus condimenti
New.CleanUp.ReferenceOTU45736,Firmicutes,Staphylococcus condimenti
New.CleanUp.ReferenceOTU6798,Firmicutes,Staphylococcus condimenti
New.ReferenceOTU795,Firmicutes,Staphylococcus condimenti
FJ957846.1.1474,Firmicutes,Staphylococcus epidermidis
GQ284475.1.1517,Firmicutes,Staphylococcus epidermidis
JQ795730.1.1495,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU103027,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU103295,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU105924,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU106295,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU106733,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU11516,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU15410,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU16787,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU2440,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU24762,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU25934,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU26891,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU29302,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU32740,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU34163,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU40617,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU44151,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU45645,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU48066,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU48125,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU48980,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU50469,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU50881,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU51056,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU52014,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU54083,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU56565,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU57988,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU58363,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU60815,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU63430,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU66240,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU66367,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU69131,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU69752,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU70770,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU7667,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU77095,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU78405,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU80356,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU81699,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU8241,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU86206,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU88085,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU89487,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU9108,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU91213,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU96211,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU98808,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU99131,Firmicutes,Staphylococcus epidermidis
New.CleanUp.ReferenceOTU99992,Firmicutes,Staphylococcus epidermidis
DQ129420.1.1508,Firmicutes,Staphylococcus haemolyticus
EF510348.1.1506,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU104085,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU105449,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU12510,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU16085,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU19551,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU24594,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU25720,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU26194,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU27324,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU34127,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU35540,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU38764,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU39974,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU40022,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU44602,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU45624,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU5319,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU57643,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU5832,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU59081,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU61365,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU62275,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU65476,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU69655,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU7013,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU81734,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU83514,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU83989,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU84479,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU9132,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU95248,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU95512,Firmicutes,Staphylococcus haemolyticus
New.CleanUp.ReferenceOTU96667,Firmicutes,Staphylococcus haemolyticus
EU536349.1.1368,Firmicutes,Staphylococcus hominis
FJ832086.1.1515,Firmicutes,Staphylococcus hominis
HK557047.45.1575,Firmicutes,Staphylococcus hominis
JF127619.1.1370,Firmicutes,Staphylococcus hominis
JQ607245.1.1453,Firmicutes,Staphylococcus hominis
JQ795732.1.1518,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU101253,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU105695,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU107519,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU11470,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU1178,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU12451,Firmicutes,Staphylococcus hominis
New.CleanUp.ReferenceOTU12899,Firmicutes,Staphylococcus hominis
